Entry Date,Exit Date,Entry Price,Exit Price,Size,PnL,Recovery Mode
2025-09-18 15:30,2025-09-19 15:00,238.2100067138672,242.85499572753906,10,-46.44989013671875,False
2025-09-19 15:30,2025-09-22 14:00,242.27369689941406,251.11000061035156,10,88.363037109375,False
2025-09-22 14:30,2025-09-25 19:30,252.66000366210938,256.95001220703125,10,42.90008544921875,False
2025-09-26 13:30,2025-10-03 14:00,254.0,258.0400085449219,10,40.40008544921875,False
2025-10-03 14:30,2025-10-09 16:30,257.8599853515625,253.8800048828125,10,-39.7998046875,False
2025-10-09 17:00,2025-10-10 15:30,253.80999755859375,249.0399932861328,10,47.700042724609375,False
2025-10-10 16:00,2025-10-20 14:00,248.77000427246094,258.8900146484375,10,-101.20010375976562,False
2025-10-20 14:30,2025-10-20 16:30,259.489990234375,263.4800109863281,10,39.90020751953125,False
2025-10-20 17:00,2025-10-22 15:30,263.610107421875,258.45001220703125,10,-51.6009521484375,False
2025-10-22 16:00,2025-10-24 16:00,259.30499267578125,263.3450012207031,10,-40.40008544921875,False
2025-10-24 16:30,2025-10-28 13:30,263.5899963378906,269.135009765625,10,55.45013427734375,False
2025-10-28 14:00,2025-11-10 15:00,268.9800109863281,273.2550048828125,10,42.74993896484375,False
2025-11-10 15:30,2025-11-17 18:30,271.8299865722656,267.7699890136719,10,40.5999755859375,False
2025-11-17 19:00,2025-11-19 15:30,267.2699890136719,271.85009765625,10,-45.80108642578125,False
2025-11-19 16:00,2025-11-20 15:00,270.2300109863281,274.9549865722656,10,47.249755859375,False
2025-11-20 15:30,2025-11-20 17:00,273.9100036621094,269.32000732421875,10,-45.89996337890625,False
2025-11-20 17:30,2025-11-24 15:00,268.8699951171875,273.4800109863281,10,46.10015869140625,False
2025-11-24 15:30,2025-11-25 15:00,273.0799865722656,279.3999938964844,10,63.2000732421875,False
2025-11-25 15:30,2025-12-02 14:30,278.8900146484375,283.0,10,41.099853515625,False
2025-12-02 15:00,2025-12-03 15:00,283.3949890136719,287.8450012207031,10,44.5001220703125,False
2025-12-03 15:30,2025-12-04 15:00,287.32000732421875,281.42999267578125,10,-58.900146484375,False
2025-12-04 15:30,2025-12-08 18:30,281.2099914550781,276.9494934082031,10,42.60498046875,False
