Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close,Grid Stop Loss,Grid Take Profit
2025-04-03 20:30,2025-04-07 17:00,LONG,100,85.77,72.14,-1363.0,98621.21,210.0,210.0
2025-04-07 17:30,2025-04-07 18:30,SHORT,200,74.08,70.9,636.0,99228.21,210.0,210.0
2025-04-07 19:00,2025-04-07 20:00,SHORT,100,71.58,70.0,158.0,99372.05,210.0,210.0
2025-04-07 20:30,2025-04-07 21:30,SHORT,100,69.68,66.55,313.0,99671.43,210.0,210.0
2025-04-07 22:00,2025-04-08 17:00,SHORT,100,65.12,69.11,-399.0,99259.01,210.0,210.0
2025-04-08 17:30,2025-04-08 18:30,LONG,200,66.52,63.61,-582.0,98650.98,210.0,210.0
2025-04-08 19:00,2025-04-08 20:00,SHORT,400,64.12,61.93,876.0,99476.56,210.0,210.0
2025-04-08 20:30,2025-04-09 17:30,SHORT,100,61.3,57.86,344.0,99808.65,210.0,210.0
2025-04-09 18:00,2025-04-09 18:30,SHORT,100,57.04,59.27,-223.0,99574.02,210.0,210.0
2025-04-09 19:00,2025-04-09 20:30,LONG,200,61.01,66.21,1040.0,100588.57,210.0,210.0
2025-04-09 21:00,2025-04-09 21:30,SHORT,100,69.14,71.18,-204.0,100370.54,210.0,210.0
2025-04-09 22:00,2025-04-10 17:00,LONG,200,69.34,66.24,-620.0,99723.42,210.0,210.0
2025-04-10 17:30,2025-04-10 18:30,SHORT,400,66.15,63.27,1152.0,100823.66,210.0,210.0
2025-04-10 19:00,2025-04-10 20:30,LONG,100,62.89,60.55,-234.0,100577.31,210.0,210.0
2025-04-10 21:00,2025-04-14 16:30,SHORT,200,60.68,65.03,-870.0,99682.17,210.0,210.0
2025-04-14 17:00,2025-04-14 18:30,LONG,400,64.14,61.08,-1224.0,98408.08,210.0,210.0
2025-04-14 19:00,2025-04-14 21:00,SHORT,800,60.95,58.81,1712.0,100024.27,210.0,210.0
2025-04-14 21:30,2025-04-21 17:00,SHORT,100,56.49,52.15,434.0,100447.41,210.0,210.0
